Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,Year
MIN,"1,924,473","23,759",26.6,28.8,100,100,0,3,11,"$40,425,000 ",2:54,,,,Gardenhire,2002
MON,"812,045","10,025",28.2,27.7,103,103,1,2,9,"$38,670,500 ",2:55,,,,Robinson,2002
NYM,"2,804,838","34,628",30.6,30.3,96,97,2,1,11,"$94,633,593 ",3:01,,,,Valentine,2002
NYY,"3,465,807","43,323",29.9,33.1,100,99,0,6,16,"$125,928,583 ",3:09,,,,Torre,2002
OAK,"2,169,811","26,788",28.6,27.4,98,97,0,2,10,"$40,004,167 ",3:01,,,,Howe,2002
PHI,"1,618,467","20,231",27.5,28.5,94,94,0,3,13,"$57,954,999 ",3:01,,,,Bowa,2002
PIT,"1,784,988","22,312",27.9,28.1,102,103,0,1,6,"$42,323,599 ",2:49,,,,McClendon,2002
SDP,"2,220,601","27,415",29.1,27.8,90,91,1,1,7,"$41,425,000 ",2:53,,,,Bochy,2002
SEA,"3,542,938","43,740",31.2,30.2,97,95,0,3,20,"$80,282,668 ",2:58,,,,Piniella,2002
SFG,"3,253,203","40,163",32.1,29.2,95,94,0,3,12,"$78,299,835 ",3:02,,,,Baker,2002
STL,"3,011,756","37,182",28.9,30.2,98,97,0,1,14,"$74,660,875 ",2:56,,,,La Russa,2002
TBR,"1,065,742","13,157",27.1,26.9,97,99,0,1,6,"$34,380,000 ",2:51,,,,McRae,2002
TEX,"2,352,397","29,042",29,29.7,106,106,1,1,12,"$105,726,122 ",3:05,,,,Narron,2002
TOR,"1,637,900","20,221",27.2,27.4,104,103,0,1,11,"$76,864,333 ",2:55,,,,Martinez and Tosca,2002
ANA,"2,000,919","24,703",27.9,28.9,101,100,0,2,7,"$47,735,167 ",2:57,,,,Scioscia,2001
ARI,"2,736,451","33,783",31.9,30.9,108,107,1,3,14,"$85,082,999 ",2:58,,,,Brenly,2001
ATL,"2,823,530","34,858",30.3,31.1,103,102,4,2,17,"$91,936,166 ",2:53,,,,Cox,2001
BAL,"3,094,841","38,686",30.2,27.6,95,96,2,1,10,"$74,279,540 ",2:59,,,,Hargrove,2001
BOS,"2,625,333","32,412",30,30.9,101,100,1,1,16,"$110,035,833 ",3:04,,,,Williams and Kerrigan,2001
CHC,"2,779,465","34,314",30.7,29.8,95,95,0,2,13,"$64,715,833 ",2:56,,,,Baylor,2001
CHW,"1,766,172","21,805",28.5,26.2,104,103,1,1,16,"$65,653,667 ",2:57,,,,Manuel,2001
CIN,"1,879,757","23,207",28,27.4,105,105,2,1,11,"$48,986,000 ",2:58,,,,Boone,2001
CLE,"3,175,523","39,694",31.1,29.1,100,100,2,2,17,"$93,360,001 ",3:06,,,,Manuel,2001
COL,"3,166,821","39,097",28.3,28.7,122,122,0,3,7,"$71,541,334 ",3:02,,,,Bell,2001
DET,"1,921,305","23,720",28.3,28.1,93,95,0,1,8,"$53,416,167 ",2:52,,,,Garner,2001
FLA,"1,261,226","15,765",27.3,26.5,96,97,0,2,14,"$35,762,500 ",2:53,,,,Boles and Perez,2001
HOU,"2,904,277","35,855",30.3,28.4,106,106,2,3,12,"$60,612,667 ",2:58,,,,Dierker,2001
KCR,"1,536,371","18,968",28.2,27.3,106,107,0,1,8,"$35,422,500 ",2:53,,,,Muser,2001
LAD,"3,017,143","37,249",30.2,30.5,92,91,0,2,15,"$109,105,953 ",3:00,,,,Tracy,2001
MIL,"2,811,041","34,704",29.4,27.3,97,98,0,1,10,"$43,886,833 ",2:55,,,,Lopes,2001
MIN,"1,782,929","22,011",26.2,27.4,101,101,0,3,15,"$24,130,000 ",2:56,,,,Kelly,2001
MON,"642,745","7,935",27.6,27.4,101,102,2,1,7,"$35,159,500 ",2:51,,,,Alou and Torborg,2001
NYM,"2,658,330","32,819",30.4,31.1,95,95,1,2,10,"$93,174,428 ",3:02,,,,Valentine,2001
NYY,"3,264,907","40,811",31.2,30.9,101,100,0,7,17,"$112,787,143 ",3:09,,,,Torre,2001
OAK,"2,133,277","26,337",27.3,28,98,97,0,1,11,"$33,810,750 ",3:03,,,,Howe,2001
PHI,"1,782,054","22,001",26.9,28.9,97,97,0,1,10,"$41,663,833 ",2:55,,,,Bowa,2001
PIT,"2,464,870","30,430",27.8,28.1,103,104,0,1,11,"$57,760,833 ",2:48,,,,McClendon,2001
SDP,"2,378,128","29,360",28.9,28.7,91,91,3,2,8,"$39,182,833 ",2:59,,,,Bochy,2001
SEA,"3,507,326","43,300",31.4,30.8,94,92,0,8,19,"$74,720,834 ",3:03,,,,Piniella,2001
SFG,"3,311,958","40,888",31.5,29.2,93,91,0,3,13,"$63,280,167 ",3:06,,,,Baker,2001
STL,"3,109,578","37,922",28.8,29.3,100,99,0,2,13,"$79,373,333 ",2:57,,,,La Russa,2001
TBR,"1,298,365","16,029",28.1,26.9,97,99,0,1,6,"$56,980,000 ",2:52,,,,Rothschild and McRae,2001
TEX,"2,831,021","34,525",29.9,28.5,104,104,1,2,15,"$88,633,500 ",3:04,,,,Oates and Narron,2001
TOR,"1,915,438","23,359",28.2,28.5,102,102,0,1,13,"$76,895,999 ",2:59,,,,Martinez,2001
ANA,"2,066,982","25,518",27.6,28.9,102,102,0,2,12,"$52,664,167 ",3:05,,,,Scioscia,2000
ARI,"2,942,251","36,324",30.8,31.6,104,103,1,2,13,"$81,027,833 ",2:54,,,,Showalter,2000
ATL,"3,234,304","39,930",30.8,31.4,100,99,3,5,19,"$84,737,836 ",2:54,,,,Cox,2000
BAL,"3,297,031","40,704",32.2,29.1,95,96,1,2,13,"$82,347,435 ",3:01,,,,Hargrove,2000
BOS,"2,585,895","31,925",29.3,30.2,103,103,1,4,15,"$79,975,333 ",3:02,,,,Williams,2000
CHC,"2,789,511","34,438",30.8,28.4,97,98,0,2,10,"$60,539,333 ",3:00,,,,Baylor,2000
CHW,"1,947,799","24,047",27.6,26.5,102,102,1,3,13,"$31,743,500 ",3:03,,,,Manuel,2000
CIN,"2,577,371","31,431",29.2,28.5,102,102,2,3,13,"$46,867,200 ",3:00,,,,McKeon,2000
CLE,"3,456,278","42,670",30.1,30.2,101,100,2,4,15,"$76,972,271 ",3:12,,,,Manuel,2000
COL,"3,295,129","40,681",29.2,29.9,125,125,0,3,5,"$61,111,190 ",3:01,,,,Bell,2000
DET,"2,438,617","30,106",29.1,29.1,94,95,0,1,9,"$59,645,167 ",3:01,,,,Garner,2000
FLA,"1,218,326","15,041",26.1,26.7,94,95,0,1,12,"$20,347,000 ",2:59,,,,Boles,2000
HOU,"3,056,139","37,730",29.1,28,107,107,2,1,10,"$51,289,111 ",3:02,,,,Dierker,2000
KCR,"1,564,847","19,319",27.6,25.8,103,103,0,2,6,"$24,903,000 ",3:01,,,,Muser,2000
LAD,"2,880,242","35,559",29.6,29.5,94,93,0,2,14,"$88,124,286 ",3:03,,,,Johnson,2000
MIL,"1,573,621","19,427",28.8,27.4,97,98,0,1,9,"$37,305,333 ",3:04,,,,Lopes,2000
MIN,"1,000,760","12,355",26.5,26.6,104,105,0,1,12,"$17,529,500 ",2:59,,,,Kelly,2000
MON,"926,272","11,435",26.2,26.1,103,104,1,2,7,"$32,994,333 ",2:51,,,,Alou,2000
NYM,"2,820,530","34,821",30.4,31,96,96,2,3,12,"$79,509,776 ",3:04,,,,Valentine,2000
NYY,"3,055,435","38,193",31.3,32,99,98,0,4,23,"$93,113,260 ",3:09,,,,Torre,2000
OAK,"1,603,744","19,799",27.3,29.5,96,95,0,3,12,"$33,172,333 ",3:08,,,,Howe,2000
PHI,"1,612,769","19,911",28.5,28.7,100,101,0,1,13,"$47,513,000 ",2:59,,,,Francona,2000
PIT,"1,748,908","21,591",28.3,27.1,99,100,0,2,7,"$31,328,334 ",2:57,,,,Lamont,2000
SDP,"2,352,443","29,043",28.6,27.5,92,92,2,1,9,"$55,021,000 ",2:57,,,,Bochy,2000
SEA,"2,914,624","35,983",31.4,29.3,94,93,1,3,16,"$60,495,000 ",3:08,,,,Piniella,2000
SFG,"3,318,800","40,973",29.9,28.5,93,92,0,2,10,"$53,737,826 ",3:01,,,,Baker,2000
STL,"3,336,493","41,191",29.7,29.3,101,101,0,4,16,"$61,653,863 ",3:01,,,,La Russa,2000
TBR,"1,449,673","18,121",30.1,29.3,98,100,0,1,10,"$63,265,129 ",2:58,,,,Rothschild,2000
TEX,"2,588,401","31,956",29.5,28.7,101,102,1,1,11,"$70,795,921 ",3:06,,,,Oates,2000
TOR,"1,705,712","21,058",28.1,28.9,103,103,0,3,12,"$46,038,332 ",3:00,,,,Fregosi,2000
ANA,"2,253,123","27,816",28.6,31.5,99,99,0,1,11,"$55,633,166 ",2:52,,,,Collins and Maddon,1999
ARI,"3,019,654","37,280",30,30.6,101,100,1,4,14,"$68,703,999 ",2:54,,,,Showalter,1999
ATL,"3,284,897","40,554",29.6,28.6,99,98,4,2,18,"$73,341,000 ",2:49,,,,Cox,1999
BAL,"3,433,150","42,385",32.5,30.1,95,95,1,4,17,"$80,805,863 ",2:58,,,,Miller,1999
BOS,"2,446,162","30,200",28.9,30.1,104,103,1,3,11,"$64,097,500 ",2:54,,,,Williams,1999
CHC,"2,813,854","34,739",31.2,28.8,97,98,0,1,14,"$62,343,000 ",2:53,,,,Riggleman,1999
CHW,"1,338,851","16,529",25.8,26.4,101,101,1,1,7,"$25,820,000 ",2:55,,,,Manuel,1999
CIN,"2,061,222","25,137",28.3,28,103,102,1,3,16,"$33,962,761 ",2:54,,,,McKeon,1999
CLE,"3,468,456","42,820",29,30.6,103,102,2,6,16,"$73,679,962 ",3:09,,,,Hargrove,1999
COL,"3,481,065","42,976",29.7,28.9,126,127,0,1,5,"$61,935,837 ",2:53,,,,Leyland,1999
DET,"2,026,441","25,018",27.5,27.6,99,100,0,1,9,"$36,689,666 ",2:54,,,,Parrish,1999
FLA,"1,369,421","17,118",25.2,26,93,94,0,1,9,"$21,085,000 ",2:52,,,,Boles,1999
HOU,"2,706,017","33,000",29.8,27.4,99,98,2,4,9,"$55,114,000 ",2:55,,,,Dierker and Galante,1999
KCR,"1,506,068","18,826",26.9,26.9,101,102,0,1,8,"$26,660,000 ",3:00,,,,Muser,1999
LAD,"3,095,346","38,214",29.2,28.6,94,94,0,1,13,"$81,062,453 ",2:58,,,,Johnson,1999
MIL,"1,701,796","21,272",28.1,28.2,98,99,0,2,11,"$43,377,395 ",3:04,,,,Garner and Lefebvre,1999
MIN,"1,202,829","14,850",26.8,26.3,103,104,0,1,13,"$22,107,500 ",2:57,,,,Kelly,1999
MON,"773,277","9,547",25.9,25.5,97,98,1,1,7,"$17,903,000 ",2:48,,,,Alou,1999
NYM,"2,725,668","33,650",30.1,32.7,97,97,2,1,16,"$68,852,092 ",3:02,,,,Valentine,1999
NYY,"3,292,736","40,651",30.9,31.2,98,96,0,4,17,"$86,934,359 ",3:11,,,,Torre,1999
OAK,"1,434,610","17,711",28.7,31.4,94,94,1,1,11,"$24,831,833 ",3:04,,,,Howe,1999
PHI,"1,825,337","22,535",28.2,28.3,104,105,0,3,8,"$31,897,500 ",2:55,,,,Francona,1999
PIT,"1,638,023","20,223",28.3,26.8,100,101,0,1,6,"$25,047,666 ",2:49,,,,Lamont,1999
SDP,"2,523,538","31,155",29.7,28.8,92,92,2,3,11,"$49,768,179 ",2:48,,,,Bochy,1999
SEA,"2,916,346","36,004",29.3,28.2,102,102,1,1,12,"$54,125,003 ",3:03,,,,Piniella,1999
SFG,"2,078,399","25,659",30.3,28.6,94,94,0,2,9,"$46,798,057 ",3:05,,,,Baker,1999
STL,"3,225,334","40,317",28.7,28.6,101,101,0,2,11,"$49,988,195 ",3:01,,,,La Russa,1999
TBR,"1,562,827","19,294",30.2,29.6,100,101,1,2,9,"$38,870,000 ",3:00,,,,Rothschild,1999
TEX,"2,771,469","34,216",30.8,30.1,104,104,1,4,12,"$76,709,931 ",2:56,,,,Oates,1999
TOR,"2,163,464","26,709",28.3,27.9,100,100,0,2,14,"$45,444,333 ",2:58,,,,Fregosi,1999
ANA,"2,519,280","31,102",28.7,29.8,102,102,0,2,16,"$41,791,000 ",2:58,,,,Collins,1998
ARI,"3,610,290","44,571",27.8,27.4,100,99,0,1,7,"$32,347,000 ",2:43,,,,Showalter,1998
ATL,"3,360,860","41,492",28.9,29.5,100,98,4,6,17,"$61,186,000 ",2:42,,,,Cox,1998
BAL,"3,684,650","45,490",33.2,30.5,98,97,2,3,20,"$72,525,634 ",3:02,,,,Miller,1998
BOS,"2,314,704","28,577",28.8,29.5,102,101,2,3,12,"$56,927,000 ",2:53,,,,Williams,1998
CHC,"2,623,194","31,990",30.1,28.8,103,103,0,1,13,"$50,838,000 ",2:55,,,,Riggleman,1998
CHW,"1,391,146","16,965",27.4,26.4,97,98,1,1,11,"$39,850,000 ",2:53,,,,Manuel,1998
CIN,"1,793,649","22,144",27.5,28,102,102,1,1,14,"$23,005,000 ",2:46,,,,McKeon,1998
CLE,"3,467,299","42,806",29.4,29.8,103,102,1,6,17,"$61,718,166 ",2:59,,,,Hargrove,1998
COL,"3,792,683","46,823",29.5,27.8,121,122,0,3,6,"$50,484,648 ",2:46,,,,Baylor,1998
DET,"1,409,391","17,400",27.3,26.6,100,101,0,1,7,"$24,265,000 ",2:51,,,,Bell and Parrish,1998
FLA,"1,730,384","21,363",25.5,24.5,94,95,1,1,12,"$41,864,667 ",2:51,,,,Leyland,1998
HOU,"2,458,451","30,351",29.7,27.8,98,97,3,2,10,"$42,374,000 ",2:54,,,,Dierker,1998
KCR,"1,494,875","18,686",28.8,28.8,101,102,0,1,12,"$38,097,500 ",2:50,,,,Muser,1998
LAD,"3,089,222","38,139",28.3,27.6,95,95,1,2,15,"$48,820,000 ",2:46,,,,Russell and Hoffman,1998
MIL,"1,811,593","22,365",28.3,28.1,100,101,0,1,11,"$34,139,904 ",2:51,,,,Garner,1998
MIN,"1,165,976","14,395",29.9,28.7,101,102,1,1,14,"$28,097,500 ",2:58,,,,Kelly,1998
MON,"914,909","11,295",25.9,25.7,98,99,1,1,8,"$10,641,500 ",2:42,,,,Alou,1998
NYM,"2,287,948","28,246",28.9,31.7,99,99,1,2,12,"$52,247,999 ",2:56,,,,Valentine,1998
NYY,"2,955,193","36,484",30.4,30.2,97,95,1,5,18,"$66,806,867 ",3:06,,,,Torre,1998
OAK,"1,232,343","15,214",28.8,31,96,97,1,1,8,"$21,473,000 ",2:56,,,,Howe,1998
PHI,"1,715,722","21,182",27,29.3,102,103,0,1,8,"$36,297,500 ",2:49,,,,Francona,1998
PIT,"1,560,950","19,271",26.7,26.5,102,103,0,1,7,"$15,065,000 ",2:41,,,,Lamont,1998
SDP,"2,555,874","31,554",31.1,29.8,92,92,2,5,11,"$46,861,500 ",2:44,,,,Bochy,1998
SEA,"2,651,511","32,735",29.8,31.3,99,98,2,2,11,"$54,802,036 ",2:55,,,,Piniella,1998
SFG,"1,925,364","23,770",30.7,31.8,95,95,0,2,11,"$42,738,334 ",2:56,,,,Baker,1998
STL,"3,195,691","38,972",30.5,28.9,100,100,0,1,13,"$54,672,521 ",2:54,,,,La Russa,1998
TBR,"2,506,293","30,942",29.1,27.9,101,102,1,1,6,"$27,280,000 ",2:56,,,,Rothschild,1998
TEX,"2,927,399","36,141",29.9,29.9,104,103,1,4,10,"$56,752,095 ",2:56,,,,Oates,1998
TOR,"2,454,303","30,300",28.9,30.3,99,99,0,1,20,"$51,376,000 ",2:57,,,,Johnson,1998
ANA,"1,767,330","21,553",29.8,28.3,102,102,2,1,15,"$31,135,472 ",3:06,,,,Collins,1997
ATL,"3,464,488","42,771",27.9,28.5,102,99,4,7,14,"$52,278,500 ",2:48,,,,Cox,1997
BAL,"3,711,132","45,816",31.7,30.7,97,96,2,5,16,"$58,516,400 ",3:08,,,,Johnson,1997
BOS,"2,226,136","27,483",28,27.8,102,102,0,1,12,"$43,558,750 ",3:01,,,,Williams,1997
CHC,"2,190,308","27,041",29.4,28.2,102,102,1,1,9,"$42,155,333 ",2:52,,,,Riggleman,1997
CHW,"1,864,782","23,022",29.3,29.4,96,96,1,2,15,"$57,740,000 ",3:01,,,,Bevington,1997
CIN,"1,785,788","22,047",28.2,29.6,102,102,1,1,13,"$49,768,000 ",2:46,,,,Knight and McKeon,1997
CLE,"3,404,750","42,034",30.2,29.7,103,102,1,3,22,"$56,802,460 ",3:00,,,,Hargrove,1997
COL,"3,888,453","48,006",30.4,27.9,122,123,0,2,8,"$43,559,667 ",2:55,,,,Baylor,1997
DET,"1,365,157","16,854",26.4,27.5,99,100,0,1,7,"$17,272,000 ",2:58,,,,Bell,1997
FLA,"2,364,387","29,190",28.5,27.5,95,96,0,3,14,"$48,692,500 ",2:56,,,,Leyland,1997
HOU,"2,046,781","25,269",28.8,27,96,95,2,3,13,"$34,777,500 ",2:55,,,,Dierker,1997
KCR,"1,517,638","18,970",28.8,27.6,101,102,0,1,16,"$34,810,000 ",2:58,,,,Boone and Muser,1997
LAD,"3,319,504","40,982",29.3,28.8,93,92,2,1,9,"$45,380,304 ",2:56,,,,Russell,1997
MIL,"1,444,027","18,050",28,28.3,101,102,0,1,11,"$23,655,338 ",2:55,,,,Garner,1997
MIN,"1,411,064","17,421",29.2,28.1,100,101,1,1,14,"$34,072,500 ",2:56,,,,Kelly,1997
MON,"1,497,609","18,489",27.7,26.4,99,99,2,1,10,"$19,295,500 ",2:46,,,,Alou,1997
NYM,"1,766,174","21,805",27.3,29.4,97,97,0,2,11,"$39,800,400 ",2:52,,,,Valentine,1997
NYY,"2,580,325","32,254",30.6,29.6,100,98,2,5,20,"$62,241,545 ",3:11,,,,Torre,1997
OAK,"1,264,218","15,608",28.1,27.8,96,97,0,1,7,"$24,018,500 ",3:03,,,,Howe,1997
PHI,"1,490,638","18,403",27.8,27.9,100,101,0,1,9,"$36,656,500 ",2:51,,,,Francona,1997
PIT,"1,657,022","20,457",26.6,25.7,103,103,0,1,6,"$10,771,667 ",2:47,,,,Lamont,1997
SDP,"2,089,333","25,794",30.8,28.1,93,93,3,3,11,"$37,363,672 ",2:58,,,,Bochy,1997
SEA,"3,192,237","39,410",29.3,30.4,98,98,2,5,14,"$41,540,661 ",3:00,,,,Piniella,1997
SFG,"1,690,869","20,875",29.6,28.9,98,98,0,3,9,"$35,592,378 ",2:57,,,,Baker,1997
STL,"2,634,014","32,519",30,29.5,99,99,1,2,15,"$45,456,667 ",2:51,,,,La Russa,1997
TEX,"2,945,228","36,361",28.3,29.7,105,105,1,1,9,"$53,448,838 ",2:57,,,,Oates,1997
TOR,"2,589,297","31,967",29.6,28.8,99,99,0,2,17,"$47,079,833 ",2:51,,,,Gaston and Queen,1997
ATL,"2,901,242","35,818",27.9,27.9,105,104,4,6,17,"$49,698,500 ",2:44,,,,Cox,1996
BAL,"3,646,950","44,475",31.2,28.9,100,99,3,3,15,"$54,599,315 ",3:08,,,,Johnson,1996
BOS,"2,315,231","28,583",28.4,28.7,101,101,0,1,14,"$42,393,500 ",3:05,,,,Kennedy,1996
CAL,"1,820,521","22,476",29.3,29.1,98,98,0,2,13,"$28,847,000 ",3:03,,,,"Lachemann, McNamara and Maddon",1996
CHC,"2,219,110","27,396",29,28.3,102,102,1,1,8,"$33,081,000 ",2:53,,,,Riggleman,1996
CHW,"1,676,403","20,696",30.6,27.8,95,95,1,2,11,"$45,289,500 ",3:00,,,,Bevington,1996
CIN,"1,861,428","22,981",29.3,29.2,100,100,1,1,13,"$42,526,334 ",2:50,,,,Knight,1996
CLE,"3,318,174","41,477",29.7,30.3,99,97,2,5,21,"$48,216,360 ",3:06,,,,Hargrove,1996
COL,"3,891,014","48,037",30.1,28.8,123,123,0,3,7,"$40,324,823 ",2:57,,,,Baylor,1996
DET,"1,168,610","14,427",27,26.7,100,102,1,1,11,"$23,438,000 ",3:00,,,,Bell,1996
FLA,"1,746,767","21,565",27.9,28,97,96,1,3,13,"$31,132,000 ",2:50,,,,"Lachemann, Rojas and Boles",1996
HOU,"1,975,888","24,394",28.2,28.5,92,91,2,2,12,"$28,487,000 ",2:54,,,,Collins,1996
KCR,"1,435,997","17,950",27.1,29,99,99,0,1,8,"$20,281,250 ",2:49,,,,Boone,1996
LAD,"3,188,454","39,364",27.9,28.2,93,92,1,2,8,"$35,355,000 ",2:56,,,,Lasorda and Russell,1996
MIL,"1,327,155","16,385",27.8,27.2,103,104,0,1,11,"$21,730,000 ",3:02,,,,Garner,1996
MIN,"1,437,352","17,529",28.6,25.8,101,102,1,1,9,"$23,117,000 ",2:56,,,,Kelly,1996
MON,"1,616,709","19,959",27.4,27.5,102,102,2,3,9,"$16,264,500 ",2:53,,,,Alou,1996
NYM,"1,588,323","19,609",27.2,27.4,95,95,0,2,11,"$24,479,500 ",2:47,,,,Green and Valentine,1996
NYY,"2,250,877","28,136",30.1,29.3,101,100,2,3,23,"$54,191,792 ",3:03,,,,Torre,1996
OAK,"1,148,380","14,178",28.2,27.1,101,102,0,1,6,"$21,243,000 ",2:59,,,,Howe,1996
PHI,"1,801,677","22,243",28.4,27.7,99,101,0,1,12,"$34,314,500 ",2:47,,,,Fregosi,1996
PIT,"1,332,150","16,652",28.8,27.9,103,104,0,1,9,"$23,017,500 ",2:49,,,,Leyland,1996
SDP,"2,187,886","27,011",30.9,28.7,94,94,3,2,11,"$28,348,172 ",2:54,,,,Bochy,1996
SEA,"2,723,850","33,628",28.7,27.8,99,99,2,5,12,"$41,328,501 ",3:02,,,,Piniella,1996
SFG,"1,413,922","17,243",28.9,28.4,95,96,0,2,7,"$37,144,725 ",2:53,,,,Baker,1996
STL,"2,654,718","32,774",30.7,30.9,99,99,2,1,14,"$40,269,667 ",2:52,,,,La Russa,1996
TEX,"2,889,020","35,667",29.4,30.5,105,105,1,2,13,"$39,041,528 ",3:01,,,,Oates,1996
TOR,"2,559,573","31,600",28.6,28.3,99,100,0,1,12,"$30,555,083 ",2:49,,,,Gaston,1996
ATL,"2,561,831","35,581",27.9,27.4,103,101,4,2,16,"$47,235,445 ",2:41,,,,Cox,1995
BAL,"3,098,475","43,034",30,29.3,102,101,1,1,18,"$43,942,521 ",3:03,,,,Regan,1995
BOS,"2,164,410","30,061",28.6,29.1,103,103,0,2,11,"$32,455,518 ",2:57,,,,Kennedy,1995
CAL,"1,748,680","24,287",28.8,30.7,99,99,0,4,11,"$31,223,171 ",3:05,,,,Lachemann,1995
CHC,"1,918,265","26,643",28.3,27.8,97,97,0,3,9,"$29,505,834 ",2:54,,,,Riggleman,1995
CHW,"1,609,773","22,358",29.5,27.6,96,95,2,1,17,"$46,961,282 ",3:00,,,,Lamont and Bevington,1995
CIN,"1,837,649","25,523",28.4,28.3,99,98,1,4,13,"$43,144,670 ",2:48,,,,Johnson,1995
CLE,"2,842,745","39,483",29,30.6,101,99,3,6,18,"$38,057,835 ",3:02,,,,Hargrove,1995
COL,"3,390,037","47,084",29.5,28.6,128,128,0,2,10,"$34,154,717 ",2:52,,,,Baylor,1995
DET,"1,180,979","16,402",28.8,27.8,100,102,1,1,11,"$37,044,168 ",2:55,,,,Anderson,1995
FLA,"1,700,466","23,950",28.1,28.3,100,100,1,1,8,"$24,515,781 ",2:49,,,,Lachemann,1995
HOU,"1,363,801","18,942",28.1,27.9,92,92,2,1,13,"$34,169,834 ",3:00,,,,Collins,1995
KCR,"1,233,530","17,132",29.1,28,101,101,0,1,13,"$29,532,834 ",2:52,,,,Boone,1995
LAD,"2,766,251","38,420",27.4,27.7,91,90,1,5,11,"$39,273,201 ",2:54,,,,Lasorda,1995
MIL,"1,087,560","15,105",27.9,27.3,105,105,0,1,10,"$17,798,825 ",2:57,,,,Garner,1995
MIN,"1,057,667","14,690",27.4,25.7,101,102,1,1,8,"$25,410,500 ",2:54,,,,Kelly,1995
MON,"1,309,618","18,189",26.2,27.6,103,103,1,1,12,"$12,473,000 ",2:49,,,,Alou,1995
NYM,"1,273,183","17,683",27.4,27.2,96,96,0,1,13,"$27,674,992 ",2:49,,,,Green,1995
NYY,"1,705,263","23,360",31.1,28.1,99,98,1,3,20,"$48,874,851 ",3:01,,,,Showalter,1995
OAK,"1,174,310","16,310",29.5,30.9,91,91,2,2,13,"$37,739,225 ",3:01,,,,La Russa,1995
PHI,"2,043,598","28,383",29.7,27.1,99,100,0,5,16,"$30,555,945 ",2:48,,,,Fregosi,1995
PIT,"905,517","12,577",28.3,26.4,101,102,0,1,6,"$18,355,345 ",2:47,,,,Leyland,1995
SDP,"1,041,805","14,470",28.8,26.6,97,97,2,1,9,"$26,382,334 ",2:46,,,,Bochy,1995
SEA,"1,643,203","22,510",28.8,28.8,101,101,2,4,12,"$36,481,311 ",3:02,,,,Piniella,1995
SFG,"1,241,500","17,243",28.8,28.6,95,96,0,2,8,"$36,462,777 ",2:51,,,,Baker,1995
STL,"1,756,727","24,399",28.7,30.2,98,99,1,2,11,"$37,101,000 ",2:42,,,,Torre and Jorgensen,1995
TEX,"1,985,910","27,582",29.1,30.6,103,103,1,2,10,"$34,581,451 ",2:59,,,,Oates,1995
TOR,"2,826,483","39,257",28.9,28.7,99,100,2,1,15,"$50,590,000 ",3:00,,,,Gaston,1995
ATL,"2,539,240","46,168",28.2,27.4,102,100,3,3,15,"$49,383,513 ",2:48,,,,Cox,1994
BAL,"2,535,359","46,097",30.2,29.1,105,104,1,3,13,"$38,849,769 ",3:11,,,,Oates,1994
BOS,"1,775,818","27,747",29.8,30.2,104,104,1,1,10,"$37,859,084 ",3:06,,,,Hobson,1994
CAL,"1,512,622","24,010",27.7,28.9,100,101,0,1,9,"$25,156,218 ",3:04,,,,Rodgers and Lachemann,1994
CHC,"1,845,208","31,275",28.2,28.3,99,99,1,1,10,"$36,287,333 ",2:54,,,,Trebelhorn,1994
CHW,"1,697,398","32,026",29.9,28.2,98,97,2,3,13,"$39,183,836 ",3:05,,,,Lamont,1994
CIN,"1,897,681","31,628",28.5,27.2,99,99,1,2,11,"$41,073,833 ",2:53,,,,Johnson,1994
CLE,"1,995,174","39,121",28.3,30.7,98,97,3,2,14,"$30,490,500 ",3:08,,,,Hargrove,1994
COL,"3,281,511","57,570",29.7,28,117,118,0,1,9,"$23,887,333 ",2:54,,,,Baylor,1994
DET,"1,184,783","20,427",30.8,31.2,100,101,1,2,11,"$41,446,501 ",3:09,,,,Anderson,1994
FLA,"1,937,467","32,838",27.6,29,102,103,0,1,8,"$21,633,000 ",2:50,,,,Lachemann,1994
HOU,"1,561,136","26,460",27.8,27.2,95,94,2,5,15,"$33,126,000 ",2:54,,,,Collins,1994
KCR,"1,400,494","23,737",30.1,28,103,104,0,1,11,"$40,541,334 ",2:52,,,,McRae,1994
LAD,"2,279,355","41,443",28.7,30,94,93,1,1,11,"$38,000,001 ",2:59,,,,Lasorda,1994
MIL,"1,268,399","22,650",27.9,28.3,104,104,0,1,10,"$24,350,500 ",3:03,,,,Garner,1994
MIN,"1,398,565","23,704",28.9,28.1,100,101,2,2,7,"$28,438,500 ",2:57,,,,Kelly,1994
MON,"1,276,250","24,543",26.2,26.2,101,100,1,5,11,"$19,098,000 ",2:58,,,,Alou,1994
NYM,"1,151,471","21,726",27.8,28.6,99,99,0,1,10,"$30,956,583 ",2:52,,,,Green,1994
NYY,"1,675,556","29,396",30.5,29.8,96,95,1,3,12,"$46,040,334 ",3:06,,,,Showalter,1994
OAK,"1,242,692","22,191",29.2,29.8,91,92,2,1,12,"$34,172,500 ",3:01,,,,La Russa,1994
PHI,"2,290,971","38,183",29.8,29.3,102,102,0,4,15,"$31,599,000 ",2:51,,,,Fregosi,1994
PIT,"1,222,520","20,041",29.1,27.2,101,102,0,1,7,"$24,217,250 ",2:45,,,,Leyland,1994
