Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,Year
KCR,"1,956,482","24,154",28.2,28.9,104,103,0,3,15,"$89,804,075 ",3:02,35,22,62%,Yost,2014
LAA,"3,095,935","38,221",29.3,28.4,95,94,0,2,13,"$128,667,000 ",3:15,36,20,55%,Scioscia,2014
LAD,"3,782,337","46,696",29.3,29.9,96,95,0,4,20,"$233,386,026 ",3:14,38,21,55%,Mattingly,2014
MIA,"1,732,283","21,386",27.4,26.4,100,101,0,2,10,"$42,365,400 ",3:05,27,19,70%,Redmond,2014
MIL,"2,797,384","34,536",28.8,29,103,103,0,4,12,"$109,567,000 ",3:07,27,17,62%,Roenicke,2014
MIN,"2,250,606","27,785",27.5,29.2,102,102,0,2,8,"$87,044,000 ",3:07,40,21,52%,Gardenhire,2014
NYM,"2,148,808","26,528",28.4,28.9,94,94,0,1,9,"$82,663,615 ",3:08,31,14,45%,Collins,2014
NYY,"3,401,624","41,995",32.8,29.3,100,100,0,3,18,"$258,118,959 ",3:12,30,24,80%,Girardi,2014
OAK,"2,003,628","24,736",29.6,28.2,98,97,0,6,15,"$89,160,900 ",3:05,26,14,53%,Melvin,2014
PHI,"2,423,852","29,924",30.8,30.1,101,102,0,1,12,"$176,444,967 ",3:09,32,14,43%,Sandberg,2014
PIT,"2,442,564","30,155",27.3,28.1,99,98,0,3,13,"$80,729,000 ",3:09,35,20,57%,Hurdle,2014
SDP,"2,195,373","27,103",27.9,28.8,92,92,0,2,6,"$76,662,100 ",3:01,33,17,51%,Black,2014
SEA,"2,064,334","25,486",27.5,29,95,95,0,4,10,"$95,471,000 ",2:59,35,20,57%,McClendon,2014
SFG,"3,368,697","41,589",28.6,31.7,95,94,0,3,16,"$163,510,167 ",3:05,35,22,62%,Bochy,2014
STL,"3,540,649","43,712",28.6,27.2,100,99,0,4,15,"$129,932,500 ",3:03,32,13,40%,Matheny,2014
TBR,"1,446,464","17,858",29.3,28.4,97,97,0,1,11,"$77,814,300 ",3:19,49,21,42%,Maddon,2014
TEX,"2,718,733","33,565",28.4,27.9,104,104,0,2,12,"$129,801,239 ",3:06,43,22,51%,Washington and Bogar,2014
TOR,"2,375,525","29,327",29.2,29.6,100,99,0,3,10,"$136,466,200 ",3:01,47,16,34%,Gibbons,2014
WSN,"2,579,389","31,844",28.8,28.3,104,102,0,2,13,"$137,235,080 ",3:05,32,21,65%,Williams,2014
ARI,"2,134,895","26,357",28.1,27.6,102,103,0,2,11,"$80,060,500 ",3:08,,,,Gibson,2013
ATL,"2,548,679","31,465",26.8,27.2,101,100,0,3,11,"$95,618,750 ",2:59,,,,Gonzalez,2013
BAL,"2,357,561","29,106",27.8,27.9,103,102,0,5,16,"$100,832,000 ",3:01,,,,Showalter,2013
BOS,"2,833,333","34,979",29.6,30.2,103,103,0,3,20,"$175,395,500 ",3:15,,,,Farrell,2013
CHC,"2,642,682","32,626",27.9,28.7,102,103,0,1,9,"$67,874,166 ",3:07,,,,Sveum,2013
CHW,"1,768,413","21,832",29.2,27.1,104,105,0,2,11,"$81,401,900 ",3:02,,,,Ventura,2013
CIN,"2,492,101","31,151",28.5,27.7,101,101,0,3,14,"$106,255,535 ",3:08,,,,Baker,2013
CLE,"1,572,926","19,419",28.7,27.5,95,95,0,2,13,"$87,342,433 ",3:03,,,,Francona,2013
COL,"2,793,828","34,492",27.7,28.3,118,119,0,3,12,"$73,768,000 ",3:05,,,,Weiss,2013
DET,"3,083,397","38,067",30,28.4,104,104,0,6,12,"$154,407,000 ",3:06,,,,Leyland,2013
HOU,"1,651,883","20,394",25.9,27.2,99,101,0,1,5,"$14,672,300 ",3:12,,,,Porter,2013
KCR,"1,750,754","21,614",26.9,28.9,103,103,0,3,15,"$87,426,250 ",2:55,,,,Yost,2013
LAA,"3,019,505","37,278",27.8,29.1,94,94,0,1,10,"$116,532,500 ",3:12,,,,Scioscia,2013
LAD,"3,743,527","46,216",30.6,28.1,96,95,0,1,20,"$254,161,000 ",3:07,,,,Mattingly,2013
MIA,"1,586,322","19,584",27.7,26,102,103,0,1,7,"$24,761,900 ",2:57,,,,Redmond,2013
MIL,"2,531,105","31,248",27.9,28.8,103,103,0,2,11,"$86,945,000 ",3:03,,,,Roenicke,2013
MIN,"2,477,644","30,588",28.3,28.3,101,102,0,2,5,"$63,042,500 ",3:06,,,,Gardenhire,2013
NYM,"2,135,657","26,366",28.3,29.1,94,95,0,2,7,"$69,425,860 ",3:08,,,,Collins,2013
NYY,"3,279,589","40,489",31.9,31.8,100,100,0,2,17,"$246,534,750 ",3:05,,,,Girardi,2013
OAK,"1,809,302","22,337",28.3,28.3,98,97,0,2,14,"$69,440,000 ",3:05,,,,Melvin,2013
PHI,"3,012,403","37,190",30,28.7,100,100,0,2,10,"$150,860,000 ",2:59,,,,Manuel and Sandberg,2013
PIT,"2,256,862","27,862",27.9,28.7,95,95,0,5,18,"$99,230,000 ",3:06,,,,Hurdle,2013
SDP,"2,166,691","26,749",28.1,28.8,91,91,0,1,10,"$65,988,600 ",3:00,,,,Black,2013
SEA,"1,761,546","21,747",28.6,28,92,92,0,2,8,"$78,887,000 ",3:04,,,,Wedge,2013
SFG,"3,369,106","41,087",28.7,29.6,93,92,0,4,12,"$139,845,667 ",3:05,,,,Bochy,2013
STL,"3,369,769","41,602",28.7,26.9,101,100,0,6,15,"$112,583,000 ",3:01,,,,Matheny,2013
TBR,"1,510,300","18,646",29.5,29,97,96,0,2,10,"$71,163,500 ",3:11,,,,Maddon,2013
TEX,"3,178,273","38,759",29.6,27.9,103,103,0,3,15,"$139,261,200 ",3:04,,,,Washington,2013
TOR,"2,536,562","31,316",29,30.9,102,103,0,4,10,"$124,517,800 ",2:55,,,,Gibbons,2013
WSN,"2,652,422","32,746",27.7,27.7,103,101,0,2,13,"$112,493,250 ",2:57,,,,Johnson,2013
ARI,"2,177,617","26,884",28.3,27.4,103,103,0,1,12,"$67,069,833 ",2:58,,,,Gibson,2012
ATL,"2,420,171","29,879",28.5,27.6,102,101,1,4,15,"$86,208,000 ",2:55,,,,Gonzalez,2012
BAL,"2,102,240","25,954",28,27.6,102,103,1,3,15,"$77,949,000 ",3:00,,,,Showalter,2012
BOS,"3,043,003","37,568",29.4,28.7,104,103,0,1,17,"$110,386,000 ",3:09,,,,Valentine,2012
CHC,"2,882,756","35,590",27.8,27.9,101,103,0,2,11,"$86,159,366 ",2:58,,,,Sveum,2012
CHW,"1,965,955","24,271",30,27.5,104,104,0,4,16,"$118,208,000 ",2:54,,,,Ventura,2012
CIN,"2,347,251","28,978",28.8,27.1,104,104,0,3,14,"$80,309,500 ",3:00,,,,Baker,2012
CLE,"1,603,596","19,797",27.8,27.6,94,95,0,2,11,"$78,911,300 ",2:58,,,,Acta and Alomar,2012
COL,"2,630,458","32,475",28.1,28.2,117,117,0,1,13,"$75,485,000 ",3:06,,,,Tracy,2012
DET,"3,028,033","37,383",27.9,28.2,105,104,0,3,10,"$131,394,000 ",2:59,,,,Leyland,2012
HOU,"1,607,733","19,849",26.6,27.2,100,102,0,1,6,"$37,651,000 ",3:02,,,,Mills and DeFrancesco,2012
KCR,"1,739,859","21,480",26.1,27.3,102,102,0,1,11,"$61,747,075 ",2:57,,,,Yost,2012
LAA,"3,061,770","37,800",28.7,30.1,94,93,0,4,16,"$140,581,000 ",2:57,,,,Scioscia,2012
LAD,"3,324,246","41,040",30.4,29,96,96,0,2,15,"$177,033,600 ",3:05,,,,Mattingly,2012
MIA,"2,219,444","27,401",28.3,28.8,102,103,0,1,14,"$107,678,000 ",2:57,,,,Guillen,2012
MIL,"2,831,385","34,955",29.2,29,105,104,0,1,16,"$95,717,000 ",3:08,,,,Roenicke,2012
MIN,"2,776,354","34,276",28.9,27.8,98,100,0,1,8,"$99,066,000 ",2:59,,,,Gardenhire,2012
NYM,"2,242,803","27,689",27.9,30.3,95,96,0,2,9,"$91,621,424 ",2:56,,,,Collins,2012
NYY,"3,542,406","43,733",32.9,30.3,104,103,0,4,20,"$197,977,900 ",3:07,,,,Girardi,2012
OAK,"1,679,013","20,729",27.7,27.9,95,95,0,1,13,"$61,202,500 ",3:02,,,,Melvin,2012
PHI,"3,565,718","44,021",31.1,29.1,102,102,1,3,15,"$171,501,558 ",2:56,,,,Manuel,2012
PIT,"2,091,918","25,826",27.6,30.2,95,95,0,2,14,"$70,077,000 ",3:01,,,,Hurdle,2012
SDP,"2,123,721","26,219",27.4,28,91,91,0,1,11,"$55,494,700 ",2:56,,,,Black,2012
SEA,"1,721,920","21,258",27,27.9,92,93,0,1,12,"$78,235,600 ",2:56,,,,Wedge,2012
SFG,"3,377,371","41,696",27.8,30,89,89,0,4,15,"$117,637,350 ",3:02,,,,Bochy,2012
STL,"3,262,109","40,273",29.2,28.6,98,96,0,6,16,"$112,071,000 ",3:01,,,,Matheny,2012
TBR,"1,559,681","19,255",29.7,28.1,95,94,0,2,12,"$63,368,700 ",3:06,,,,Maddon,2012
TEX,"3,460,280","42,720",29.7,28.8,109,107,0,8,16,"$124,119,900 ",3:00,,,,Washington,2012
TOR,"2,099,663","25,922",27.8,27.8,102,103,0,1,8,"$82,352,700 ",2:58,,,,Farrell,2012
WSN,"2,370,794","29,269",27.2,27,101,101,0,4,14,"$92,386,000 ",3:03,,,,Johnson,2012
ARI,"2,105,432","25,993",28.2,27.4,103,103,0,2,12,"$54,823,166 ",2:53,,,,Gibson,2011
ATL,"2,372,940","29,296",28.9,28.4,101,100,1,5,17,"$93,855,132 ",2:56,,,,Gonzalez,2011
BAL,"1,755,461","21,672",28.3,28.2,102,103,1,1,14,"$88,299,038 ",2:54,,,,Showalter,2011
BOS,"3,054,001","37,704",30.1,30.3,105,105,0,6,20,"$166,662,475 ",3:13,,,,Francona,2011
CHC,"3,017,966","37,259",29.3,29.4,101,102,0,1,14,"$136,547,329 ",2:58,,,,Quade,2011
CHW,"2,001,117","24,705",30,28.5,106,106,0,2,14,"$127,789,000 ",2:49,,,,Guillen and Cooper,2011
CIN,"2,213,588","27,328",28.6,27.7,104,103,0,4,17,"$77,297,134 ",3:03,,,,Baker,2011
CLE,"1,840,835","22,726",27.8,26.7,94,96,1,2,11,"$49,426,566 ",2:56,,,,Acta,2011
COL,"2,909,777","35,923",28.6,27.7,119,119,0,1,13,"$91,648,071 ",3:03,,,,Tracy,2011
DET,"2,642,045","32,618",28.6,27.8,102,101,0,5,11,"$106,875,231 ",3:00,,,,Leyland,2011
FLA,"1,520,562","18,772",27.4,28,101,102,0,1,11,"$57,694,000 ",2:58,,,,"Rodriguez, Hyde and McKeon",2011
HOU,"2,067,016","25,519",28.2,27.2,98,99,0,1,6,"$71,110,500 ",2:56,,,,Mills,2011
KCR,"1,724,450","21,290",25.8,26.4,99,100,0,1,12,"$35,712,000 ",2:54,,,,Yost,2011
LAA,"3,166,321","39,090",28.9,28.4,92,92,0,3,13,"$138,543,166 ",2:53,,,,Scioscia,2011
LAD,"2,935,139","36,236",29.8,28.6,96,96,0,3,14,"$103,785,477 ",3:02,,,,Mattingly,2011
MIL,"3,071,373","37,918",28.9,29.3,103,103,0,3,14,"$86,636,333 ",2:56,,,,Roenicke,2011
MIN,"3,168,116","39,113",27.5,28.5,99,99,1,1,9,"$112,737,000 ",2:50,,,,Gardenhire,2011
NYM,"2,352,596","29,044",28,30,96,96,0,2,11,"$151,897,309 ",2:59,,,,Collins,2011
NYY,"3,653,680","45,107",30.6,31,106,105,0,8,20,"$206,275,028 ",3:08,,,,Girardi,2011
OAK,"1,476,791","18,232",29.1,27.4,98,98,0,1,8,"$67,094,000 ",2:53,,,,Geren and Melvin,2011
PHI,"3,680,718","45,441",31.4,29.2,101,100,0,5,17,"$172,976,379 ",2:52,,,,Manuel,2011
PIT,"1,940,429","23,956",27.2,28.1,95,97,0,3,11,"$45,047,000 ",3:00,,,,Hurdle,2011
SDP,"2,143,018","26,457",28,28.1,93,93,0,1,9,"$45,869,140 ",2:52,,,,Black,2011
SEA,"1,896,321","23,411",29.3,26.8,90,92,0,3,12,"$86,110,600 ",2:46,,,,Wedge,2011
SFG,"3,387,303","41,819",30.2,28.5,92,91,0,5,15,"$124,198,333 ",2:54,,,,Bochy,2011
STL,"3,093,954","38,197",29.3,30.2,98,97,0,3,14,"$105,433,572 ",2:55,,,,La Russa,2011
TBR,"1,529,188","18,879",28.2,27.8,93,92,0,3,10,"$41,053,571 ",2:58,,,,Maddon,2011
TEX,"2,946,949","36,382",29.1,28.8,109,108,0,5,15,"$93,799,264 ",2:55,,,,Washington,2011
TOR,"1,818,103","22,446",28.3,27.6,104,104,0,2,6,"$64,567,800 ",2:55,,,,Farrell,2011
WSN,"1,940,478","24,256",28.4,27.6,100,100,1,1,10,"$68,492,928 ",2:57,,,,"Riggleman, McLaren and Johnson",2011
ARI,"2,056,697","25,391",26.8,27.9,105,105,0,1,8,"$61,368,166 ",2:58,,,,Hinch and Gibson,2010
ATL,"2,510,119","30,989",28.6,30.1,98,97,1,6,18,"$84,423,666 ",2:56,,,,Cox,2010
BAL,"1,733,019","21,395",28.6,28.4,99,100,0,1,13,"$81,612,500 ",2:53,,,,"Trembley, Samuel and Showalter",2010
BOS,"3,046,445","37,610",30.9,29.6,106,105,0,6,19,"$164,507,333 ",3:10,,,,Francona,2010
CHC,"3,062,973","37,814",29.4,28.2,104,105,0,1,12,"$146,609,002 ",2:50,,,,Piniella and Quade,2010
CHW,"2,194,378","27,091",30.7,29,103,103,0,2,16,"$107,195,000 ",2:47,,,,Guillen,2010
CIN,"2,060,550","25,439",29,28.2,102,101,0,4,14,"$75,321,542 ",2:56,,,,Baker,2010
CLE,"1,391,644","17,181",27.2,26.6,94,95,0,1,10,"$61,203,966 ",2:54,,,,Acta,2010
COL,"2,875,245","35,497",28.8,28.1,115,115,0,2,10,"$90,677,000 ",3:00,,,,Tracy,2010
DET,"2,461,237","30,386",29,26.5,102,101,0,3,11,"$124,039,928 ",2:54,,,,Leyland,2010
FLA,"1,524,894","18,826",26.9,27.1,103,103,0,2,6,"$57,454,719 ",2:55,,,,Gonzalez and Rodriguez,2010
HOU,"2,331,490","28,784",29.5,29.6,97,98,0,1,7,"$93,216,000 ",2:49,,,,Mills,2010
KCR,"1,615,327","19,942",28.9,27.5,99,101,0,1,8,"$73,105,210 ",2:51,,,,Hillman and Yost,2010
LAA,"3,250,814","40,134",29.7,28.3,96,96,0,2,15,"$104,963,866 ",2:54,,,,Scioscia,2010
LAD,"3,562,320","43,979",30.3,28.1,96,96,0,4,18,"$95,358,016 ",3:01,,,,Torre,2010
MIL,"2,776,531","34,278",27.8,29.2,100,100,1,3,15,"$81,108,278 ",3:03,,,,Macha,2010
MIN,"3,223,640","39,798",28.4,28.6,98,98,1,2,14,"$97,559,166 ",2:51,,,,Gardenhire,2010
