Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB,LOB,Year
NYY,36,30.5,5.93,113,4611,3986,670,1155,238,16,139,632,55,40,530,660,0.29,0.374,0.462,0.836,119,1842,112,31,27,37,34,918,1994
OAK,43,29.2,4.82,114,4396,3885,549,1009,178,13,113,515,91,39,417,686,0.26,0.33,0.399,0.73,95,1552,79,18,24,51,21,808,1994
PHI,40,29.8,4.53,115,4436,3927,521,1028,208,28,80,484,67,24,396,711,0.262,0.332,0.39,0.722,86,1532,95,31,51,31,44,841,1994
PIT,39,29.1,4.09,114,4301,3864,466,1001,198,23,80,435,53,25,349,725,0.259,0.322,0.384,0.706,83,1485,90,22,36,28,29,819,1994
SDP,40,27.2,4.09,117,4519,4068,479,1117,200,19,92,445,79,37,319,762,0.275,0.33,0.401,0.731,92,1631,112,31,67,33,47,867,1994
SEA,44,27.4,5.08,112,4361,3883,569,1045,211,18,153,549,48,21,372,652,0.269,0.335,0.451,0.786,100,1751,87,26,48,32,42,784,1994
SFG,36,28.4,4.38,115,4364,3869,504,963,159,32,123,472,114,40,364,719,0.249,0.318,0.402,0.72,92,1555,72,39,65,27,47,783,1994
STL,37,29,4.65,115,4450,3902,535,1026,213,27,108,506,76,46,434,686,0.263,0.339,0.414,0.753,97,1617,80,33,44,37,48,845,1994
TEX,41,27.3,5.38,114,4531,3983,613,1114,198,27,124,582,82,35,437,730,0.28,0.353,0.436,0.79,104,1738,95,36,41,34,37,863,1994
TOR,34,29.3,4.92,115,4462,3962,566,1064,210,30,115,534,79,26,387,691,0.269,0.336,0.424,0.76,95,1679,96,38,30,44,34,820,1994
ATL,33,28.8,4.73,162,6234,5515,767,1444,239,29,169,712,125,48,560,946,0.262,0.331,0.408,0.739,97,2248,127,36,73,50,46,1165,1993
BAL,41,29.4,4.85,162,6310,5508,786,1470,287,24,157,744,73,54,655,930,0.267,0.346,0.413,0.759,101,2276,131,41,49,56,52,1202,1993
BOS,39,29.7,4.23,162,6196,5496,686,1451,319,29,114,644,73,38,508,871,0.264,0.33,0.395,0.725,90,2170,146,62,80,49,69,1154,1993
CAL,46,27.2,4.22,162,6089,5391,684,1399,259,24,114,644,169,100,564,930,0.26,0.331,0.38,0.711,90,2048,129,38,50,46,39,1089,1993
CHC,38,28,4.53,163,6217,5627,738,1521,259,32,161,706,100,43,446,923,0.27,0.325,0.414,0.739,99,2327,131,34,67,42,61,1133,1993
CHW,43,29,4.79,162,6253,5483,776,1454,228,44,162,731,106,57,604,834,0.265,0.338,0.411,0.75,103,2256,126,33,72,61,52,1150,1993
CIN,51,28.4,4.46,162,6164,5517,722,1457,261,28,137,669,142,59,485,1025,0.264,0.324,0.396,0.72,92,2185,104,32,63,66,42,1125,1993
CLE,48,27.2,4.88,162,6267,5619,790,1547,264,31,141,747,159,55,488,843,0.275,0.335,0.409,0.743,99,2296,131,49,39,72,57,1128,1993
COL,46,27.7,4.68,162,6073,5517,758,1507,278,59,142,704,146,90,388,944,0.273,0.323,0.422,0.745,87,2329,125,46,70,52,40,978,1993
DET,40,30.8,5.55,162,6505,5620,899,1546,282,38,178,853,104,63,765,1122,0.275,0.362,0.434,0.796,115,2438,101,35,33,52,50,1312,1993
FLA,43,27.7,3.59,162,6127,5475,581,1356,197,31,94,542,117,56,498,1054,0.248,0.314,0.346,0.66,74,1897,122,51,58,43,39,1183,1993
